Source,Target,Id,Weight
1,0,0,1
2,0,1,8
3,0,2,10
3,2,3,6
4,0,4,1
5,0,5,1
6,0,6,1
7,0,7,1
8,0,8,2
9,0,9,1
11,0,13,5
11,2,12,3
11,3,11,3
11,10,10,1
12,11,14,1
13,11,15,1
14,11,16,1
15,11,17,1
17,16,18,4
18,16,19,4
18,17,20,4
19,16,21,4
19,17,22,4
19,18,23,4
20,16,24,3
20,17,25,3
20,18,26,3
20,19,27,4
21,16,28,3
21,17,29,3
21,18,30,3
21,19,31,3
21,20,32,5
22,16,33,3
22,17,34,3
22,18,35,3
22,19,36,3
22,20,37,4
22,21,38,4
23,11,47,9
23,12,46,2
23,16,39,3
23,17,40,3
23,18,41,3
23,19,42,3
23,20,43,4
23,21,44,4
23,22,45,4
24,11,49,7
24,23,48,2
25,11,52,12
25,23,51,1
25,24,50,13
26,11,54,31
26,16,55,1
26,24,53,4
26,25,56,1
27,11,57,17
27,23,58,5
27,24,60,1
27,25,59,5
27,26,61,1
28,11,62,8
28,27,63,1
29,11,66,2
29,23,64,1
29,27,65,1
30,23,67,1
31,11,69,3
31,23,70,2
31,27,71,1
31,30,68,2
32,11,72,1
33,11,73,2
33,27,74,1
34,11,75,3
34,29,76,2
35,11,77,3
35,29,79,2
35,34,78,3
36,11,82,2
36,29,83,1
36,34,80,2
36,35,81,2
37,11,87,2
37,29,88,1
37,34,84,2
37,35,85,2
37,36,86,2
38,11,93,2
38,29,94,1
38,34,89,2
38,35,90,2
38,36,91,2
38,37,92,2
39,25,95,1
40,25,96,1
41,24,97,2
41,25,98,3
42,24,101,1
42,25,100,2
42,41,99,2
43,11,102,3
43,26,103,1
43,27,104,1
44,11,106,1
44,28,105,3
45,28,107,2
47,46,108,1
48,11,112,1
48,25,110,1
48,27,111,1
48,47,109,2
49,11,114,2
49,26,113,3
50,24,116,1
50,49,115,1
51,11,119,2
51,26,118,2
51,49,117,9
52,39,121,1
52,51,120,1
53,51,122,1
54,26,125,1
54,49,124,1
54,51,123,2
55,11,131,19
55,16,132,1
55,25,133,2
55,26,130,21
55,39,128,1
55,41,134,5
55,48,135,4
55,49,127,12
55,51,126,6
55,54,129,1
56,49,136,1
56,55,137,1
57,41,139,1
57,48,140,1
57,55,138,1
58,11,145,4
58,27,143,6
58,48,142,7
58,55,141,7
58,57,144,1
59,48,148,6
59,55,147,5
59,57,149,2
59,58,146,15
60,48,150,1
60,58,151,4
60,59,152,2
61,48,153,2
61,55,158,1
61,57,157,1
61,58,154,6
61,59,156,5
61,60,155,2
62,41,164,1
62,48,162,7
62,55,159,9
62,57,163,2
62,58,160,17
62,59,161,13
62,60,166,3
62,61,165,6
63,48,168,5
63,55,174,1
63,57,170,2
63,58,171,4
63,59,167,5
63,60,173,2
63,61,172,3
63,62,169,6
64,11,184,1
64,48,177,5
64,55,175,5
64,57,183,1
64,58,179,10
64,59,182,9
64,60,181,2
64,61,180,6
64,62,176,12
64,63,178,4
65,48,187,3
65,55,194,2
65,57,193,1
65,58,189,5
65,59,192,5
65,60,191,2
65,61,190,5
65,62,188,5
65,63,185,5
65,64,186,7
66,48,200,1
66,58,196,3
66,59,197,1
66,60,203,1
66,61,202,1
66,62,198,2
66,63,201,1
66,64,195,3
66,65,199,2
67,57,204,3
68,11,206,1
68,24,207,1
68,25,205,5
68,27,208,1
68,41,210,1
68,48,209,1
69,11,213,1
69,24,214,1
69,25,211,6
69,27,215,2
69,41,217,1
69,48,216,1
69,68,212,6
70,11,221,1
70,24,222,1
70,25,218,4
70,27,223,1
70,41,224,1
70,58,225,1
70,68,220,4
70,69,219,4
71,11,230,1
71,25,233,1
71,27,226,1
71,41,232,1
71,48,231,1
71,68,228,2
71,69,227,2
71,70,229,2
72,11,236,1
72,26,234,2
72,27,235,1
73,48,237,2
74,48,238,2
74,73,239,3
75,25,242,3
75,41,244,1
75,48,243,1
75,68,241,3
75,69,240,3
75,70,245,1
75,71,246,1
76,48,252,1
76,58,253,1
76,62,251,1
76,63,250,1
76,64,247,1
76,65,248,1
76,66,249,1
